"filename", "language", "C++", "Python", "comment", "blank", "total"
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1006.cpp", "C++", 20, 0, 0, 2, 22
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1210.cpp", "C++", 16, 0, 0, 3, 19
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1215.cpp", "C++", 20, 0, 1, 4, 25
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1217.cpp", "C++", 15, 0, 0, 0, 15
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1229.cpp", "C++", 37, 0, 0, 4, 41
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1257.cpp", "C++", 18, 0, 0, 4, 22
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1351.cpp", "C++", 21, 0, 0, 1, 22
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1353.cpp", "C++", 14, 0, 0, 0, 14
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1360.cpp", "C++", 17, 0, 0, 0, 17
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1382.cpp", "C++", 21, 0, 0, 0, 21
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1387.cpp", "C++", 33, 0, 0, 2, 35
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1388.cpp", "C++", 22, 0, 0, 1, 23
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1416.cpp", "C++", 29, 0, 0, 7, 36
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1561.cpp", "C++", 40, 0, 0, 6, 46
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1567.cpp", "C++", 6, 0, 0, 1, 7
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1619.cpp", "C++", 8, 0, 0, 2, 10
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1620.cpp", "C++", 10, 0, 0, 2, 12
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1621.cpp", "C++", 8, 0, 0, 1, 9
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1626.cpp", "C++", 11, 0, 0, 0, 11
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1635.cpp", "C++", 34, 0, 0, 2, 36
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\1705.cpp", "C++", 27, 0, 0, 1, 28
"d:\Vscdoe_cpp_projects\helloworld\AustOJ\login_Net.py", "Python", 0, 3, 0, 0, 3
"d:\Vscdoe_cpp_projects\helloworld\bubble_sort.cpp", "C++", 23, 0, 0, 4, 27
"d:\Vscdoe_cpp_projects\helloworld\choice_sort.cpp", "C++", 38, 0, 0, 9, 47
"d:\Vscdoe_cpp_projects\helloworld\code01.cpp", "C++", 21, 0, 0, 4, 25
"d:\Vscdoe_cpp_projects\helloworld\code02.cpp", "C++", 25, 0, 0, 4, 29
"d:\Vscdoe_cpp_projects\helloworld\code02_enhance 02.cpp", "C++", 18, 0, 0, 2, 20
"d:\Vscdoe_cpp_projects\helloworld\code02_enhance.cpp", "C++", 19, 0, 0, 4, 23
"d:\Vscdoe_cpp_projects\helloworld\coutPrime.cpp", "C++", 31, 0, 1, 3, 35
"d:\Vscdoe_cpp_projects\helloworld\dfs.cpp", "C++", 48, 0, 13, 12, 73
"d:\Vscdoe_cpp_projects\helloworld\dfss.cpp", "C++", 38, 0, 0, 0, 38
"d:\Vscdoe_cpp_projects\helloworld\hello.cpp", "C++", 15, 0, 0, 3, 18
"d:\Vscdoe_cpp_projects\helloworld\hello01.cpp", "C++", 11, 0, 0, 2, 13
"d:\Vscdoe_cpp_projects\helloworld\l\111.cpp", "C++", 33, 0, 0, 2, 35
"d:\Vscdoe_cpp_projects\helloworld\l\lanqiao\cards.cpp", "C++", 26, 0, 0, 5, 31
"d:\Vscdoe_cpp_projects\helloworld\l\lanqiao\huiwen_date.cpp", "C++", 57, 0, 2, 2, 61
"d:\Vscdoe_cpp_projects\helloworld\l\lanqiao\jishu_beishu.cpp", "C++", 25, 0, 0, 0, 25
"d:\Vscdoe_cpp_projects\helloworld\l\lanqiao\menpai_made.cpp", "C++", 13, 0, 0, 0, 13
"d:\Vscdoe_cpp_projects\helloworld\l\lanqiao\yanghui_sanjiao.cpp", "C++", 27, 0, 0, 0, 27
"d:\Vscdoe_cpp_projects\helloworld\l\reverseString.cpp", "C++", 28, 0, 0, 0, 28
"d:\Vscdoe_cpp_projects\helloworld\l\schoolwork\20111031_03.cpp", "C++", 12, 0, 0, 0, 12
"d:\Vscdoe_cpp_projects\helloworld\l\schoolwork\20221024_01.cpp", "C++", 10, 0, 0, 1, 11
